id;titre;date;pdf_file;parent_id;parent_titre;parent_date;matiere_id;matiere_titre
12;Cahier n°58;29/06/2010;auticle55f144666645102ba383000a5e61c873(49).pdf;NULL;NULL;NULL;NULL;NULL
26;Cahier n°57;18/03/2010;auticle1aabe6f6d4d2102db5e5001cc041c41d(4).pdf;NULL;NULL;NULL;NULL;NULL
28;Ouvrage collectif des 5 Cridon sur la réforme de la TVA immobilière;27/05/2010;;NULL;NULL;NULL;NULL;NULL
39;Cahier n°56;26/11/2009;auticle55f144666645102ba383000a5e61c873(50).pdf;NULL;NULL;NULL;NULL;NULL
49;Cahier n°55 ;25/06/2009;auticle55f144666645102ba383000a5e61c873(51).pdf;NULL;NULL;NULL;NULL;NULL
58;Cahier n°54 bis;10/04/2009;auticle55f144666645102ba383000a5e61c873(52).pdf;NULL;NULL;NULL;NULL;NULL
60;Cahier n°54;19/03/2009;auticle55f144666645102ba383000a5e61c873(53).pdf;NULL;NULL;NULL;NULL;NULL
69;Cahier n°53 ;30/10/2008;auticle55f144666645102ba383000a5e61c873(54).pdf;NULL;NULL;NULL;NULL;NULL
78; Cahier n°52;02/07/2008;auticle55f144666645102ba383000a5e61c873(55).pdf;NULL;NULL;NULL;NULL;NULL
86;Cahier n°51;23/04/2008;auticle55f144666645102ba383000a5e61c873(56).pdf;NULL;NULL;NULL;NULL;NULL
99;Cahier n°50;27/11/2007;auticle55f144666645102ba383000a5e61c873(57).pdf;NULL;NULL;NULL;NULL;NULL
113;Cahier n°49;17/07/2007;auticle55f144666645102ba383000a5e61c873(58).pdf;NULL;NULL;NULL;NULL;NULL
126;Cahier n°48;16/04/2007;auticle55f144666645102ba383000a5e61c873(59).pdf;NULL;NULL;NULL;NULL;NULL
138;Cahier n°47;01/11/2006;cahieu99df18da4659102bb9d3000a5e61c873.pdf;NULL;NULL;NULL;NULL;NULL
147;Cahier n°46;01/07/2006;cahieub267f9e248bd102bb9d3000a5e61c873(6).pdf;NULL;NULL;NULL;NULL;NULL
159;Cahier n°45;01/04/2006;cahieub267f9e248bd102bb9d3000a5e61c873(1).pdf;NULL;NULL;NULL;NULL;NULL
171;Cahier n°44;01/12/2005;cahieub267f9e248bd102bb9d3000a5e61c873(7).pdf;NULL;NULL;NULL;NULL;NULL
182;Cahier n°43;01/07/2005;cahieub267f9e248bd102bb9d3000a5e61c873.pdf;NULL;NULL;NULL;NULL;NULL
197;Cahier n°42;18/04/2005;cahieub267f9e248bd102bb9d3000a5e61c873(2).pdf;NULL;NULL;NULL;NULL;NULL
208;Cahier n°41;01/11/2004;cahieub267f9e248bd102bb9d3000a5e61c873(5).pdf;NULL;NULL;NULL;NULL;NULL
219;Cahier n°40;01/06/2004;cahieub267f9e248bd102bb9d3000a5e61c873(4).pdf;NULL;NULL;NULL;NULL;NULL
228;Cahier n°39;01/03/2004;cahieub267f9e248bd102bb9d3000a5e61c873(3).pdf;NULL;NULL;NULL;NULL;NULL
238;Cahier n°38;01/11/2003;cahieub267f9e248bd102bb9d3000a5e61c873(8).pdf;NULL;NULL;NULL;NULL;NULL
247;Cahier n°37;01/07/2003;cahieub267f9e248bd102bb9d3000a5e61c873(9).pdf;NULL;NULL;NULL;NULL;NULL
257;Cahier n°36;01/04/2003;cahieub267f9e248bd102bb9d3000a5e61c873(10).pdf;NULL;NULL;NULL;NULL;NULL
271;Cahier n°35;01/11/2002;cahieub267f9e248bd102bb9d3000a5e61c873(11).pdf;NULL;NULL;NULL;NULL;NULL
282;Cahier n°34;01/07/2002;cahieub267f9e248bd102bb9d3000a5e61c873(13).pdf;NULL;NULL;NULL;NULL;NULL
