Code;Intitulé;Intitulé court;Dépendance;Actif
A;;;A;Oui
B;;;B;Oui
C;;;C;Oui
D;;;D;Oui
E;;;E;Oui
F;;;F;Oui
G;;;G;Oui
H;;;H;Oui
I;;;I;Oui
K;;;K;Oui
L;;;L;Oui
O;;;O;Oui
P;;;P;Oui
1;Formation ;Couples : Concubinage, PACS, mariage;A;Oui
2;Rédaction des différents contrats (rédaction du pacs et contrat de mariage);Couples : Concubinage, PACS, mariage;A;Oui
3;Fonctionnement et liquidation des différents régimes;Couples : Concubinage, PACS, mariage;A;Oui
4;Séparation de corps;Séparation des couples;A;Oui
5;Divorce, sauf procédure civile;Séparation des couples;A;Oui
6;Les différentes procédures  ;Séparation des couples;A;Oui
7;Les mesures provisoires;Séparation des couples;A;Oui
8;Prestations compensatoires;Séparation des couples;A;Oui
9;Les conventions de divorce;Séparation des couples;A;Oui
10;Dissolution du PACS;Séparation des couples;A;Oui
11;Filiation et adoption;État des personnes;A;Oui
12;Aliments;État des personnes;A;Oui
13;Nom;État des personnes;A;Oui
14;État civil;État des personnes;A;Oui
15;Absence;État des personnes;A;Oui
16;Mineurs, majeurs protégés, mandat de protection future …;Incapacités;A;Oui
17;Donation, donation partage, testament, testament partage, donation entre époux;Libéralités;A;Oui
18;Indivision en droit patrimonial de la famille;Indivision/Partage;A;Oui
19;Partage amiable ou judiciaire, sauf procédure civile;Indivision/Partage;A;Oui
20;Dévolution;Successions;A;Oui
21;Passif successoral / Successions vacantes / ACAN;Successions;A;Oui
22;Usufruit (aspects successoraux) ;Successions;A;Oui
23;Assurances vie (aspects successoraux);Successions;A;Oui
24;Liquidation des successions;Successions;A;Oui
25;Recours sur succession …;Aide sociale;A;Oui
26;Transmission des concessions funéraires;Concessions funéraires;A;Oui
27;Accords collectifs, vente à la découpe, vente par lots;Baux habitations;B;Oui
28;Bail loi 1er septembre 1948;Baux habitations;B;Oui
29;Bail loi 1989 – loi Alur;Baux habitations;B;Oui
30;Droits de préemption;Baux habitations;B;Oui
31;Loi Aurillac (droit de la construction + bail habitation);Baux habitations;B;Oui
32;Commissions d’agences immobilières;Baux habitations;B;Oui
33;Fonds spéciaux/activités règlementées (taxis);Fonds de commerce;B;Oui
34;Pharmacie;Fonds de commerce;B;Oui
35;Registre du commerce et des sociétés;Fonds de commerce;B;Oui
36;Statut des artisans (répertoire des métiers);Fonds de commerce;B;Oui
37;Propriété industrielle;;B;Oui
38;Moyens de paiement;Droit bancaire;B;Oui
39;Fonctionnement des comptes bancaires (manque de compétences);Droit bancaire;B;Oui
40;Agents commerciaux;;B;Oui
41;Baux commerciaux;;B;Oui
42;Baux professionnels;;B;Oui
43;Statuts professionnels;Clientèle civiles et professions libérales;B;Oui
44;Baux civils;;B;Oui
45;Déclarations d’insaisissabilité – Eirl;Procédures collectives;B;Oui
46;Faillite, banqueroute;Procédures collectives;B;Oui
47;Liquidation judiciaire / liquidation des biens;Procédures collectives;B;Oui
48;Loi 1967 ;Procédures collectives;B;Oui
49;Loi 1985 ;Procédures collectives;B;Oui
50;Redressement ou règlement judiciaire et procédure de sauvegarde ;Procédures collectives;B;Oui
51;Statuts des sociétés;Création de la société;C;Oui
52;Apports en capital, mobiliers / immobiliers;Création de la société;C;Oui
53;Droits d’enregistrement;Création de la société;C;Oui
54;Plus value;Création de la société;C;Oui
55;Décès des actionnaires;Fonctionnement des sociétés;C;Oui
56;Cessions de parts (entre vifs);Fonctionnement des sociétés;C;Oui
57;Changement de dirigeant;Fonctionnement des sociétés;C;Oui
58;Clauses d’agrément;Fonctionnement des sociétés;C;Oui
59;Augmentation, diminution de capital;Fonctionnement des sociétés;C;Oui
60;Formalités liées au changement d’actionnaires;Fonctionnement des sociétés;C;Oui
61;Modification de statut, transformation de sociétés;Fonctionnement des sociétés;C;Oui
62;Opérations de dissolution, liquidation, partage;Disparition des entreprises;C;Oui
63;PPR;Urbanisme ;D;Oui
64;Certificat urbanisme;Urbanisme ;D;Oui
65;Construction zone agricole;Urbanisme ;D;Oui
66;Contentieux urbanisme Civil/Pénal Adm;Urbanisme ;D;Oui
67;Droits préemptions urbains (DPU/ZAD/ENS);Urbanisme ;D;Oui
68;Lotissement Servitude en lotissement;Urbanisme ;D;Oui
69;Permis de construire;Urbanisme ;D;Oui
70;Doc. D'urbanisme POS - PLU RNU SCOT;Urbanisme ;D;Oui
71;Servitude de cour commune;Urbanisme ;D;Oui
72;Urbanisme commercial (CDAC);Urbanisme ;D;Oui
73;ZAC;Urbanisme ;D;Oui
74;Diagnostics (Amiante, DPE, Electricité, Gaz, Plomb, Mérule, Assainissement);Diagnostic;D;Oui
75;Associations syndicales;Droit des sols;D;Oui
76;Cadastre – doc d’arpentage;Droit des sols;D;Oui
77;Construction sur sol d’autrui;Droit des sols;D;Oui
78;Copropriété;Copropriété;D;Oui
79;Droit de préemption Loi 31/12/1975 + Aurillac;Copropriété;D;Oui
80;Volumes;Copropriété;D;Oui
81;Etablissement Recevant du Public;;D;Oui
82;SRU rétractation;;D;Oui
83;Contrat de construction maisons individuelles;CONSTRUCTION;D;Oui
84;Contrat promotion immobilière;CONSTRUCTION;D;Oui
85;Multipropriété;CONSTRUCTION;D;Oui
86;Société d’attribution;CONSTRUCTION;D;Oui
87;Société de construction/Vente;CONSTRUCTION;D;Oui
88;Vente d’immeuble à construire (VEFA);CONSTRUCTION;D;Oui
89;Vente d’immeuble à rénover;CONSTRUCTION;D;Oui
90;Bail à construction;BAC/CB     ;D;Oui
91;Bail emphytéotique;BAC/CB     ;D;Oui
92;Crédit-bail immobilier;BAC/CB     ;D;Oui
93;Accession sociale;HLM;D;Oui
94;HLM;HLM;D;Oui
95;Location accession;HLM;D;Oui
96;Logement conventionné;HLM;D;Oui
97;PLA;HLM;D;Oui
98;PLS;HLM;D;Oui
99;Assurances construction ;RESPONSABILITE DES CONSTRUCTEURS;D;Oui
100;Responsabilité des constructeurs;RESPONSABILITE DES CONSTRUCTEURS;D;Oui
101;Succession / donation / partage;Droit de l’enregistrement (fiscalité notariale);E;Oui
102;Gestion de patrimoine;Droit de l’enregistrement (fiscalité notariale);E;Oui
103;Vente d’immeubles;Droit de l’enregistrement (fiscalité notariale);E;Oui
